Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2024,53551.6,53648.95,53297.9,53409.8,289388883,8298.12
02-JAN-2024,53586.35,53604.4,52605.2,53277.5,310392600,9717.96
03-JAN-2024,53408.35,53842.1,53225.2,53680.35,382533455,16489.75
04-JAN-2024,53908.95,54434.2,53897.8,54359.95,299089963,11785.98
05-JAN-2024,54582.05,54687.6,53949,54295.25,339192999,13463.46
08-JAN-2024,54450,54450,53670,53728.9,286180407,10421.97
09-JAN-2024,54115.2,54297.6,53891.65,53960.65,248184674,10069.22
10-JAN-2024,53997.65,54131.95,53490.05,54077.65,269700864,9904.68
11-JAN-2024,54355.25,54675.55,54318.9,54595.6,293715289,10361.13
12-JAN-2024,54847.6,54852.9,54587.1,54742.9,310809186,9538.3
15-JAN-2024,55013.2,55025.6,54530.6,54936.65,284775438,9906.54
16-JAN-2024,55013,55056.75,54515,54816.9,337642014,11899.48
17-JAN-2024,54478.65,54813.1,54116.55,54206.25,410804424,12956.75
18-JAN-2024,54052.55,54150.95,52766.3,53948.4,381326021,12272.06
19-JAN-2024,54297.25,54741.8,54250.95,54709,353182530,11077.58
20-JAN-2024,54970.9,55038.55,54459.35,54727.2,214455320,8033.04
23-JAN-2024,55218.25,55227.7,53009.75,53294.7,454942238,16358.85
24-JAN-2024,53419.05,54272.05,52872.95,54208.3,372127973,14656.33
25-JAN-2024,54493.2,54493.2,53779.5,54291.75,399587259,11922.63
29-JAN-2024,54564.2,55081.2,54369.4,55012.6,452499959,15603.28
30-JAN-2024,55249.25,55507.15,54763.75,54826.2,395006294,14424.18
31-JAN-2024,54916.1,55346.55,54800.1,55299.25,467463967,16220.87
01-FEB-2024,55673.85,55858.3,55168.6,55508.85,481077234,17037.36
02-FEB-2024,55852.8,56218.25,55818.6,55940.3,539082558,14851.6
05-FEB-2024,56330.55,56535.35,55463.5,55669.85,468212848,16326.8
06-FEB-2024,55935.45,56530.4,55504.05,56465.45,353196112,12379.81
07-FEB-2024,56931.25,57489.55,56600.4,57386.6,462818667,18682.01
08-FEB-2024,57754.2,57927.7,57388.45,57660.7,570211470,21414.82
09-FEB-2024,57811.55,57834.6,56263.4,57432.9,662074725,21020.37
12-FEB-2024,57559.7,57698.7,56104,56323.7,479740264,15670
13-FEB-2024,56425.1,56939.95,55701.9,56893.05,357623575,12984.41
14-FEB-2024,56477.15,57806.7,56274.7,57672.4,318293216,12205.91
15-FEB-2024,58073.5,58241.2,57931.6,58185.9,543793423,17544.37
16-FEB-2024,58460.85,58694.9,58393.6,58586.15,,
19-FEB-2024,58838.3,58897.75,58548.4,58650.3,280672307,10478.86
20-FEB-2024,58702.4,58767.2,58428.25,58706.4,270107778,9774.57
21-FEB-2024,58913.6,59104.8,58204.25,58386.5,327274812,14125.42
22-FEB-2024,58638.45,59080.4,58006.9,58999,281176688,11872.7
23-FEB-2024,59172.95,59331.45,58811.95,59153.75,338988229,13482.97
26-FEB-2024,59146.85,59375.05,58998.25,59198.55,267887029,12377.16
27-FEB-2024,59246.05,59633.6,58885.05,59150.65,248642923,12627.18
28-FEB-2024,59296,59370,58218.1,58387.3,330065213,13881.23
29-FEB-2024,58390.8,59256.3,57803.7,58991.35,790715310,22952.3
01-MAR-2024,59315.4,59578.2,59213.7,59506.75,263824935,10281.83
02-MAR-2024,59720.95,59867.45,59669.35,59783.7,25555197,984
04-MAR-2024,59936,60045.6,59648.85,59944.2,330083951,11476.86
05-MAR-2024,60079.95,60225.55,59858.3,59981.35,322810333,12457.69
06-MAR-2024,60033.75,60048.85,58900.15,59806.1,854809536,20093.36
07-MAR-2024,59934.65,60573.1,59929.1,60323.9,338492603,14853.82
11-MAR-2024,60467.45,60920.25,60203.75,60311.15,330953216,18396.31
12-MAR-2024,60361.2,60418.8,59294.6,59377.2,268300002,11859.56
13-MAR-2024,59466.8,59661.8,56716.85,57149.55,406384727,16705.21
14-MAR-2024,56938.45,58639.85,56430.85,58520.2,325405817,13528.8
15-MAR-2024,58414.35,58661.1,57184.2,58058.8,549454176,17931.13
18-MAR-2024,58072.85,58563.15,57808.7,58422,242398605,10802.69
19-MAR-2024,58403.55,58403.95,57319.25,57402.7,249285102,11027.24
20-MAR-2024,57583.35,57798,56678.9,57581.45,238071006,9670.02
21-MAR-2024,58110.1,58986.5,58075.5,58918.3,277504713,11449.25
22-MAR-2024,58987.1,59326.25,58644.3,59188.9,239966115,10207.54
26-MAR-2024,59000.05,59858.55,58991.8,59801.5,271593015,13701.47
27-MAR-2024,60098.1,60352.25,59833.25,59911.7,300646593,17408.47
28-MAR-2024,60079.7,60842.35,60026,60624.3,327420400,14051.79
01-APR-2024,61107.05,61755.35,61068.35,61634.6,316596290,13578.32
02-APR-2024,61882.65,62296.85,61722.8,62254.1,445305876,16842.98
03-APR-2024,62180.85,62480.9,61983.55,62423.75,445761842,16397.19
04-APR-2024,62882.15,62951,62005.55,62158.95,422825178,16264.08
05-APR-2024,62209.65,62734.75,62019.3,62696.1,406807913,14651.89
08-APR-2024,63097.5,63242.85,62861.35,62993.6,366356618,14285.44
09-APR-2024,63240,63256.5,62500.15,62794.05,347214914,13696.03
10-APR-2024,63030.9,63460.85,63020.1,63325.45,397894901,16227.45
12-APR-2024,63377.3,63735.35,62987.6,63067.85,444394584,18124.59
15-APR-2024,62076.25,62716.65,61330,62008.15,494750076,18578.84
16-APR-2024,61789.8,62331.55,61475.35,62057.5,401645086,15116.53
18-APR-2024,62594.55,63033.6,61751.9,61989.2,451292492,18694.2
19-APR-2024,61469.45,62051.7,60647.25,61887.9,368696613,15206.39
22-APR-2024,62514.15,62759.35,62204.95,62683.65,350000706,13626.82
23-APR-2024,63068.9,63068.9,62703.4,62798.55,307068493,12421.59
24-APR-2024,63003.25,63460.1,62945.5,63277.4,308401449,13109.24
25-APR-2024,63317.1,63766.35,63153.5,63704.45,322296621,12544.09
26-APR-2024,63911.45,64375.25,63905.35,64134.55,424020927,14493.27
29-APR-2024,64508.35,64652.35,64094.15,64488.05,379076117,14345.41
30-APR-2024,64887.25,65421.4,64802.6,64900.5,585825127,24540
02-MAY-2024,65149.45,66058.05,65090.8,66008.85,505908784,23095.87
03-MAY-2024,66450.35,66456.25,65190.75,65770.5,408677077,18320.4
06-MAY-2024,65829.5,65865.4,64398.1,64937.4,586109278,22296.24
07-MAY-2024,65179.65,65332.1,63550.25,63937.35,501949971,21192.24
08-MAY-2024,63908.05,65076,63562.9,64784.25,458315111,19907.66
09-MAY-2024,64983,65063.8,63284.25,63411.1,453792988,18324.24
10-MAY-2024,63788.25,64056.8,63019,63934.2,379965082,14922.12
13-MAY-2024,64190.1,64453.85,62941.2,64354.4,450262350,19639.62
14-MAY-2024,64584.5,65388.65,64508.15,65304.8,449776699,19378.12
15-MAY-2024,65723.8,65915.55,65422.85,65643.7,443207276,19927.57
16-MAY-2024,66020.9,66483.9,65444.6,66320.2,473418589,21483.18
17-MAY-2024,66564.05,67181.25,66475.7,67105.05,526504056,19722.11
18-MAY-2024,67450.6,67724.4,67371.05,67657,97685399,3508.65
21-MAY-2024,68054.05,68324.25,67706.9,68241.75,637336995,24677.63
22-MAY-2024,68573.7,68611.35,67662.05,68328.25,521202919,21330.98
23-MAY-2024,68546,68858,68226.55,68819.8,611374803,21579.78
24-MAY-2024,68949.1,69458.95,68671.5,69033.25,488828664,24241.35
27-MAY-2024,69427.45,69599.65,68564.65,69136.3,500304775,20655.32
28-MAY-2024,69343.65,69453.8,68032.2,68545.6,407142331,17503.37
29-MAY-2024,68191,68535.45,67899.85,68070.5,408808905,17025.67
30-MAY-2024,68000.7,68161.35,67162.3,67358.2,441515457,16372.81
31-MAY-2024,67799.1,67926.1,66816.3,67527.65,1119396354,43157.88
03-JUN-2024,70871.9,70871.9,69492.65,70620.25,979667689,38714.03
04-JUN-2024,70511.3,70511.3,60663.4,64022.15,1886775118,70411.15
05-JUN-2024,65266.6,67079.5,62764.25,66835.4,1142239634,46012.86
06-JUN-2024,67567.55,68790.3,67553.7,68224.45,678593819,29407.02
07-JUN-2024,68331.05,69300,67897.7,69222.25,501952269,21470.65
10-JUN-2024,69722.25,70049.5,69233.4,69744.6,490962931,19496.22
11-JUN-2024,69922.15,70183.9,69598.1,69678.7,453914589,19013.08
12-JUN-2024,69991.35,70361.95,69858.4,70202.15,454679319,18668.71
13-JUN-2024,70831.4,70933.55,70231.8,70842.55,462779848,22084.47
14-JUN-2024,71215.55,71970.25,71078.05,71892.15,446774237,24211.5
18-JUN-2024,72333.85,72414.35,72051.2,72345.7,433539650,24191.6
19-JUN-2024,72596.4,72614.6,71303.95,71536.7,532656721,22633.24
20-JUN-2024,71649.85,71843.6,71025.75,71632.2,394450872,18862.72
21-JUN-2024,71847.4,71878.25,70970.8,71111.8,457090268,20095.78
24-JUN-2024,70944.85,71693.1,70383.1,71642.25,387971216,17047.34
25-JUN-2024,71915.7,72049.35,71257.3,71360.85,355717608,16287.28
26-JUN-2024,71271.1,71520.1,71032.55,71235.8,491194588,21603.12
27-JUN-2024,71204.8,71578.2,70654.35,71340.65,547466175,23011.18
28-JUN-2024,71536.05,71829,71365.15,71523.45,453449939,16587.95
01-JUL-2024,71727.5,72247.65,71536.05,72197.25,396196687,16464.9
02-JUL-2024,72428,72431.7,71335.2,71807.5,423717569,17315.62
03-JUL-2024,72220.4,72635.85,72112.7,72584.95,400298329,16861.49
04-JUL-2024,72877.2,73131.8,72534.95,72928.25,334986557,15752.23
