Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2024,24826.55,24956.85,24760.2,24855.35,82017904,3790.68
02-JAN-2024,24834.85,24846.3,24532.2,24565.4,119772777,7276.79
03-JAN-2024,24592.9,24617.8,24428.7,24576.55,132535429,7776.3
04-JAN-2024,24629.8,24902.45,24618.85,24863.6,116772454,8143.96
05-JAN-2024,24898.4,24950.65,24662.8,24841.55,118240479,8184.98
08-JAN-2024,24822.4,24846.35,24450.4,24484.45,148746481,7482.17
09-JAN-2024,24608.05,24744.6,24346,24394.9,108442786,6519.35
10-JAN-2024,24307,24506.75,24266.1,24476.35,92494430,5393.37
11-JAN-2024,24554.65,24646.3,24464.65,24577.65,91524363,4832.76
12-JAN-2024,24642.55,24757.5,24554.15,24653.85,89200065,5131.32
15-JAN-2024,24746.5,24927.9,24684.95,24884.5,98608814,6819.92
16-JAN-2024,24860.15,24969.6,24784.1,24850.7,142417027,6367.72
17-JAN-2024,24101.55,24375.9,23758.9,23798.35,345773678,25533.15
18-JAN-2024,23508.3,23877.15,23487.8,23603,198837789,17650.92
19-JAN-2024,23805.7,23841.85,23468,23537.75,184709518,15517.96
20-JAN-2024,23687.75,23778.5,23495.95,23692.05,95807007,5789.94
23-JAN-2024,23955,23989.45,23111.35,23167.6,282404697,20022.15
24-JAN-2024,22901.55,23361.3,22876.8,23111.6,238074519,15250.07
25-JAN-2024,23106.45,23204.1,22837.3,23051.1,235732040,15938.17
29-JAN-2024,23228.8,23510.75,23212.95,23403,175327278,10106.9
30-JAN-2024,23426.15,23532.8,23232.35,23324.95,117214887,7401.79
31-JAN-2024,23284.1,23751.25,23171.9,23594.45,177871127,12083.28
01-FEB-2024,23672.3,23675.95,23402.35,23623.75,117111575,6612.02
02-FEB-2024,23799.5,23956.45,23422.65,23453.5,134060616,8389.83
05-FEB-2024,23455.8,23504.9,23276.6,23419.8,142127201,7851.97
06-FEB-2024,23454.7,23472.8,23272.85,23305.7,111901454,7367.46
07-FEB-2024,23421.15,23464.1,23199.05,23288.7,137819030,8960.71
08-FEB-2024,23353.3,23420.55,22622.3,22684.45,140374300,10172.76
09-FEB-2024,22671.1,22970.05,22613.35,22913.8,128174862,8129.2
12-FEB-2024,22938.75,22981.1,22390.1,22532.7,159630658,7104.02
13-FEB-2024,22631.35,22994.35,22507.7,22866.85,137097238,9247.56
14-FEB-2024,22628.15,23121,22544.4,22983.2,159771194,12093.86
15-FEB-2024,23029.05,23103.1,22777.25,23054.3,114640437,6910.75
16-FEB-2024,23185.75,23354.4,23102.8,23240.9,142089788,6093.24
19-FEB-2024,23322.9,23397.85,23224.95,23296.5,90280146,5938.65
20-FEB-2024,23207.95,23562.15,23167.75,23534.7,124188328,8910.05
21-FEB-2024,23691.4,23691.4,23380.7,23445.95,114259948,8356.19
22-FEB-2024,23413.25,23479.65,23189.15,23430.5,117452734,9248.3
23-FEB-2024,23538.05,23624.05,23385,23430.85,125945673,6471.8
26-FEB-2024,23347.4,23456.35,23280.9,23317.2,162953586,6161.87
27-FEB-2024,23277.4,23420.15,23186.5,23372.7,103579113,6229.77
28-FEB-2024,23402.75,23443.45,22958.25,23019,97540331,5187.2
29-FEB-2024,22974.6,23204.45,22849,23104.7,161999361,10337.95
01-MAR-2024,23155.1,23720.85,23155.1,23688.85,104090498,6557.89
02-MAR-2024,23737.5,23772.95,23644.4,23685.85,7666888,353.28
04-MAR-2024,23693.05,23816,23638.3,23779.7,101565994,6231.5
05-MAR-2024,23684.9,23840.4,23621,23731.75,104800252,6330.32
06-MAR-2024,23667.05,24066.95,23667.05,23938.8,177345349,10712.48
07-MAR-2024,23967,23982.1,23807.7,23848.15,94874109,7097.18
11-MAR-2024,23827.15,23857.6,23559.55,23595,119270479,7666.98
12-MAR-2024,23622.35,23834.65,23390,23605.35,136295597,11056.54
13-MAR-2024,23641.45,23701.65,23368.8,23441.1,165437795,11330.72
14-MAR-2024,23314.4,23576.05,23205.45,23332.5,143334118,8975.3
15-MAR-2024,23226.05,23400.4,23147.7,23323,240068212,23495.84
18-MAR-2024,23287.9,23372.85,23035.5,23292.8,95499771,4882.53
19-MAR-2024,23212.3,23299.65,23137.5,23220.7,95576610,7012.88
20-MAR-2024,23233.45,23340.45,22932.8,23152.5,127143322,8852.12
21-MAR-2024,23335.95,23491.05,23283.95,23355.25,95138513,7134.43
22-MAR-2024,23334.8,23515.55,23317.5,23452.6,120570096,9102.06
26-MAR-2024,23303.25,23435.3,23299.55,23334.75,123129749,9541.23
27-MAR-2024,23353.35,23551.2,23353.35,23473.6,197284355,13203.63
28-MAR-2024,23476.25,23701.5,23468.35,23555.85,290775617,11305.92
01-APR-2024,23684.55,23833.55,23669.1,23797.9,96458018,5229.83
02-APR-2024,23761.5,23887,23718.55,23782.25,133757443,8502.77
03-APR-2024,23678.95,23838.65,23653.3,23746.9,147858954,10087.86
04-APR-2024,23978.9,24050.9,23816.35,24012.35,249182527,16514.98
05-APR-2024,24048.25,24264.1,23943.1,24228.25,165906882,10399.36
08-APR-2024,24263.35,24350.55,24188.7,24287.1,202017033,6135.88
09-APR-2024,24412.65,24506.1,24313.5,24395.25,113601604,5957.91
10-APR-2024,24478.8,24542.95,24352.8,24512.35,177347335,7506.12
12-APR-2024,24364.45,24468.4,24276.1,24319.9,146122423,8652.45
15-APR-2024,24071.3,24181.45,23882.65,23916.15,134867597,6128.36
16-APR-2024,23738,23827.05,23682.1,23759.25,121711039,5911.48
18-APR-2024,23820.9,23934.35,23493.6,23534.75,127536364,8411.29
19-APR-2024,23379.1,23851.2,23287.6,23796.8,121071817,8188.93
22-APR-2024,24077.5,24077.75,23856.25,23974.05,119102009,7788.71
23-APR-2024,24148,24149.75,23952.3,23999.7,92147901,6002.09
24-APR-2024,24058.65,24145.05,24020,24109.15,81723678,4704.22
25-APR-2024,23894.5,24209.4,23867.75,24140.6,226336406,22629.94
26-APR-2024,24220.8,24242.85,23975.5,24031.55,158836118,10296.83
29-APR-2024,24080.85,24578.45,24057,24551.05,238463884,12325.63
30-APR-2024,24587.25,24830.95,24476.1,24535.95,246509642,15467.94
02-MAY-2024,24494.85,24624.65,24415.9,24472.3,213443231,13538.02
03-MAY-2024,24541,24666.55,24167.1,24293.1,130308022,9701.05
06-MAY-2024,24435.35,24576.55,24350.05,24398.45,135313623,9683.53
07-MAY-2024,24421.65,24456.95,24006,24044.3,118851250,7422.12
08-MAY-2024,23960.9,23983.35,23795.5,23849.75,162982330,9845.23
09-MAY-2024,23803.3,23942.1,23484.5,23508.9,112216694,7393.04
10-MAY-2024,23522.7,23737.2,23444.75,23550.65,119752499,6809.8
13-MAY-2024,23526.5,23807.75,23348.15,23753,136236371,6190.87
14-MAY-2024,23748.6,23827.25,23677.2,23796.05,101494851,5158.37
15-MAY-2024,23822.75,23842.45,23619.7,23716.65,111162269,6641.86
16-MAY-2024,23843.85,23911.3,23555.65,23875.1,154302266,8644.97
17-MAY-2024,23810.05,23970,23750.1,23931.65,99060497,6454.37
18-MAY-2024,23961.5,23983.8,23921.25,23969.8,13844487,393.02
21-MAY-2024,23839.2,23944.3,23782.9,23828.9,118866580,7592.4
22-MAY-2024,23875.8,23879.35,23551.85,23730.15,140155874,8826.43
23-MAY-2024,23769.65,24229.7,23757.95,24203.95,123002690,8753.34
24-MAY-2024,24166.8,24347.25,24126.75,24303.5,91800081,5891.35
27-MAY-2024,24367,24638.85,24330.9,24435.1,144118223,7038.51
28-MAY-2024,24490.15,24541.8,24305.3,24359.15,85378223,5346.04
29-MAY-2024,24181.75,24308.6,23984.7,24026.7,107258860,8025.27
30-MAY-2024,23943.35,24262.8,23943.35,24102.8,101036166,7196.39
31-MAY-2024,24211.55,24310.1,24069.5,24224.1,173681501,13363.76
03-JUN-2024,25150.35,25187.95,24710.6,25032.45,234536283,16111.79
04-JUN-2024,24914.75,24914.75,22919.35,23269.3,298844218,19892.53
05-JUN-2024,23511.75,24619.3,23095.5,24462.7,306341191,19417.9
06-JUN-2024,24630.6,24632.5,24276.85,24456.25,128435465,9561.59
07-JUN-2024,24457.3,24806.6,24357.45,24706.9,104406824,7971.68
10-JUN-2024,24699.4,24902,24598.25,24684.9,122750994,6477.09
11-JUN-2024,24662.95,24780.75,24548.4,24644.2,82893896,6386.57
12-JUN-2024,24715.35,24891,24631.8,24740.35,142728764,8812.87
13-JUN-2024,24883.15,24893.75,24675.4,24692.7,82748480,6000.66
14-JUN-2024,24771.55,24831.7,24623.45,24777.05,92987401,5471.65
18-JUN-2024,24890,25111.35,24714,25049.65,160969601,8183.31
19-JUN-2024,25147.3,25846.15,25071.55,25553.9,308582167,19361.52
20-JUN-2024,25742.6,25870.45,25548.45,25849.85,221353236,10776.18
21-JUN-2024,25936.5,25942.7,25595.95,25811.35,238588609,21355.14
24-JUN-2024,25615.45,25821.5,25535.6,25781.05,121810423,7148.05
25-JUN-2024,25794.4,26297.15,25784.85,26218.4,171148416,14655.04
26-JUN-2024,26260.25,26428.65,26120.4,26368.85,150490539,12107.97
27-JUN-2024,26440.3,26542.5,26264.05,26401.85,168548997,14413.2
28-JUN-2024,26415.25,26441,26031.7,26075.5,94676357,7264.17
01-JUL-2024,26094.85,26251.15,25992.05,26210,75001922,5112.85
