Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2020,2823.7,2836.35,2821.15,2833.35,90872720,835.11
02-JAN-2020,2841.6,2886.75,2840.45,2880.55,128659581,1292.23
03-JAN-2020,2881.2,2896.2,2871.6,2879.1,121309272,1407.44
06-JAN-2020,2860,2861.55,2800.25,2805,96942412,988.93
07-JAN-2020,2830,2859.15,2828.7,2848.15,110010094,1160.67
08-JAN-2020,2813.75,2849.05,2804.6,2845.5,116531529,1189.98
09-JAN-2020,2883.5,2911.25,2883.35,2909,100738303,1247.39
10-JAN-2020,2924.1,2944.1,2917.5,2934.9,135614249,1263.31
13-JAN-2020,2944.1,2970.8,2942.3,2967.2,100481948,1529.28
14-JAN-2020,2975.5,2994.15,2969.15,2991.05,116998364,1400.8
15-JAN-2020,2992.1,3021.25,2983.25,3018.5,96122757,1335.4
16-JAN-2020,3034.45,3048.6,3025.65,3044.4,119633680,1664.4
17-JAN-2020,3049.3,3063.6,3037.4,3058.2,86930366,1298.11
20-JAN-2020,3074.25,3076.65,3033.1,3036.3,87845274,1199.47
21-JAN-2020,3030.9,3055.2,3027.1,3044.7,108487360,1774.02
22-JAN-2020,3064,3081.6,3042.9,3046.8,121173002,1904
23-JAN-2020,3054.25,3073.3,3048.6,3070.4,100372211,1919.02
24-JAN-2020,3075.05,3093.85,3066.9,3086.05,102835287,1518.61
27-JAN-2020,3080.65,3102.05,3075.65,3087.2,101463312,1806.89
28-JAN-2020,3101.35,3114,3069.7,3083.05,165928853,1864.07
29-JAN-2020,3097.6,3111.2,3067.95,3074.35,136031889,1503.1
30-JAN-2020,3070.8,3072.25,3010.95,3020.35,141917699,1938.82
31-JAN-2020,3035.55,3041.8,3014.4,3019.95,86556496,1413.25
01-FEB-2020,3014.75,3052.1,2921.5,2934.05,80516803,1133.49
03-FEB-2020,2925.6,2938.7,2896.6,2919.1,80513366,1070.65
04-FEB-2020,2937.7,2981.65,2935.4,2977.65,71380363,1409.31
05-FEB-2020,2975.65,3004.5,2974.6,2996.95,79611442,1419.82
06-FEB-2020,3003.65,3022.8,3001.6,3010.95,64241615,1050.18
07-FEB-2020,3017.4,3022.65,3000.05,3006.75,64961239,1085.94
10-FEB-2020,3013.5,3019.6,2978.55,2982,60641503,1159.17
11-FEB-2020,2997.9,3005.5,2985.7,2991.3,71701697,1409.16
12-FEB-2020,3005.2,3005.5,2988.5,2992.45,71780339,1399.14
13-FEB-2020,2998.35,3000,2976.7,2988.3,73002423,1341.67
14-FEB-2020,2995.35,3005.3,2960.25,2966.1,52246546,934.53
17-FEB-2020,2972.5,2978.3,2911.15,2913.5,56192457,869.1
18-FEB-2020,2910.85,2912.6,2864.4,2902.7,134026118,1213.48
19-FEB-2020,2918.6,2947.85,2917.95,2942.3,90467055,1276.45
20-FEB-2020,2948.75,2967.15,2937.35,2940.65,91868577,1311.08
24-FEB-2020,2927.8,2930.65,2884.85,2887.35,65288586,978.8
25-FEB-2020,2897.25,2911.9,2871.7,2879.15,56460681,932.22
26-FEB-2020,2871.85,2874.75,2845.05,2855.35,63830790,912.8
27-FEB-2020,2850.9,2854.5,2790.65,2811.45,62354071,1060.44
28-FEB-2020,2737.1,2743.95,2686.25,2697.55,80430349,1184.47
02-MAR-2020,2736.5,2761.85,2643,2661.5,88194703,1275.73
03-MAR-2020,2682.9,2721.8,2656.4,2709.3,88903237,1721.86
04-MAR-2020,2723.05,2731.55,2623.45,2656.7,99428010,1549.01
05-MAR-2020,2672.45,2683.85,2641.25,2659.95,82721570,1089.31
06-MAR-2020,2562.95,2599.5,2537.75,2588.4,67635744,970.94
09-MAR-2020,2525.45,2529.2,2434.85,2455.55,82352557,1064.61
11-MAR-2020,2434.75,2492.85,2431.65,2461.45,89754263,1086.12
12-MAR-2020,2330.8,2346.8,2212.15,2232.75,109862213,1276.85
